id,ITEM NAME,ds,y
274,Thick Blanket(Pink),2018-12-01 00:00:00,1.0
275,Thick Blanket(Purple),2019-01-01 00:00:00,1.0
276,Thick Blanket(blue),2019-05-01 00:00:00,1.0
277,Thick Warm Blanket(blue),2018-11-01 00:00:00,1.0
278,Thin Blanket(Pink),2019-01-01 00:00:00,1.0
279,Tights(Knitted with Lace bows),2019-07-01 00:00:00,1.0
280,"Tights(Plain Grey with bow)
",2019-07-01 00:00:00,2.0
281,Tights(Plain white with bow),2019-07-01 00:00:00,4.0
282,Tights(grey),2019-05-01 00:00:00,1.0
283,Towel With Washcloth,2018-11-01 00:00:00,1.0
284,Velvex cotton wool (400g),2019-02-01 00:00:00,1.0
285,Washclothes,2017-09-01 00:00:00,1.0
286,Washclothes,2017-10-01 00:00:00,2.0
287,Washclothes,2017-11-01 00:00:00,1.0
288,Washclothes,2017-12-01 00:00:00,2.0
289,Washclothes,2018-12-01 00:00:00,1.0
290,Washcloths,2018-11-01 00:00:00,1.0
291,White Dress with Sheer-ICATO,2018-11-01 00:00:00,1.0
292,White Stocking with Lace Bow,2018-11-01 00:00:00,2.0
293,White Stockings,2019-05-01 00:00:00,1.0
294,White dress (Amigo seven),2018-12-01 00:00:00,1.0
295,White leather with star studs on strap(27),2019-07-01 00:00:00,1.0
296,Winkel Activity Toy,2019-04-01 00:00:00,2.0
297,Winkel Activity Toy,2019-06-01 00:00:00,1.0
298,Winkel Activity toy,2019-05-01 00:00:00,2.0
299,bedtime vasity pajamas,2019-02-01 00:00:00,1.0
300,biege shoes with gold bow pearl,2019-01-01 00:00:00,1.0
301,black vans with fur inside,2019-01-01 00:00:00,1.0
302,blue dress with red and white leaves,2019-01-01 00:00:00,1.0
303,children Music walker,2019-07-01 00:00:00,1.0
304,cot bed insect Net,2018-12-01 00:00:00,2.0
305,feeding Pacifier,2019-03-01 00:00:00,1.0
306,fruit pacifier(Blue),2019-01-01 00:00:00,2.0
307,huggies gold size 4,2019-01-01 00:00:00,1.0
308,kings collection blanket,2018-05-01 00:00:00,1.0
309,milk storage bags,2018-12-01 00:00:00,1.0
310,pink closed shoes,2019-01-01 00:00:00,1.0
311,seat Training Pillow,2019-05-01 00:00:00,1.0
312,sherpa Hooded bunting,2019-03-01 00:00:00,1.0
313,warm pajamas(pink),2019-01-01 00:00:00,2.0
314,white and Pink cat Dress,2019-04-01 00:00:00,1.0
315,white silver dress,2019-01-01 00:00:00,1.0
